State,College graduate starting salary,Teacher Starting Salary
Alabama,46434,38477
Alaska,52769,46785
Arizona,48159,34068
Arkansas,44101,33973
California,56010,44782
Colorado,48901,32980
Connecticut,60338,45280
Delaware,51156,41415
Florida,43371,37405
Georgia,49989,34872
Hawaii,46590,45963
Idaho,40843,33743
Illinois,52080,38820
Indiana,45632,35241
Iowa,46382,35766
Kansas,45639,34883
Kentucky,44249,36494
Louisiana,47115,40128
Maine,41612,33876
Maryland,60287,44675
Massachusetts,57029,44726
Michigan,48622,36234
Minnesota,51329,37644
Mississippi,40952,34780
Missouri,44482,31842
Montana,38283,30036
Nebraska,44255,33854
Nevada,45840,37973
New Hampshire,51767,36845
New Jersey,61128,51179
New Mexico,43257,34544
New York,54214,44935
North Carolina,45377,37514
North Dakota,43555,38032
Ohio,49281,35249
Oklahoma,42732,31919
Oregon,43452,35534
Pennsylvania,50170,44144
Rhode Island,51769,41481
South Carolina,43712,33057
South Dakota,40472,37419
Tennessee,44289,36402
Texas,51701,40725
Utah,45046,35722
Vermont,41109,38483
Virginia,55509,39398
Washington,53802,40426
West Virginia,42183,33684
Wisconsin,47339,36983
Wyoming,45519,45207