State,Annual Mean Wage (All Occupations),Median Monthly Rent,Value of a Dollar
Alabama,44930,998,1.15
Alaska,59290,1748,0.95
Arizona,50930,1356,1.04
Arkansas,42690,953,1.15
California,61290,2518,0.87
Colorado,57690,1927,0.97
Connecticut,62350,1803,0.92
Delaware,54370,1435,1.00
Florida,47750,1590,1.00
Georgia,49620,1262,1.09
Hawaii,54930,2481,0.84
Idaho,44890,1238,1.08
Illinois,55130,1463,1.01
Indiana,46770,1113,1.11
Iowa,47330,1057,1.11
Kansas,46520,1051,1.10
Kentucky,44020,1084,1.14
Louisiana,44170,1245,1.11
Maine,48470,1466,1.02
Maryland,60230,1807,0.91
Massachusetts,65680,2252,0.93
Michigan,50780,1110,1.07
Minnesota,55890,1449,1.03
Mississippi,40090,1055,1.16
Missouri,47820,1047,1.12
Montana,45370,1234,1.06
Nebraska,48250,1253,1.10
Nevada,47210,1423,1.03
New Hampshire,53950,1748,0.94
New Jersey,59980,2062,0.88
New Mexico,47040,1200,1.07
New York,63970,2050,0.87
North Carolina,48550,1208,1.10
North Dakota,50430,1290,1.09
Ohio,49430,1113,1.12
Oklahoma,45620,950,1.12
Oregon,53890,1707,1.00
Pennsylvania,51340,1242,1.02
Rhode Island,57220,1725,1.00
South Carolina,44380,1209,1.11
South Dakota,42920,1213,1.13
Tennessee,45650,1153,1.11
Texas,50490,1455,1.03
Utah,49420,1526,1.03
Vermont,51120,1599,0.98
Virginia,56740,1452,0.98
Washington,62020,1838,0.95
West Virginia,43420,888,1.14
Wisconsin,48850,1141,1.08
Wyoming,49760,1149,1.03