CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Bergen,890,Cliffside Park Borough,"$64,090 ","$63,850","$63,500"
Warren,4200,Pohatcong Township,"$64,065 ","$64,065","$60,528"
Monmouth,2400,Keansburg Borough,"$64,065 ","$64,065","$57,035"
Warren,3675,North Warren Regional,"$63,995 ","$62,787","$60,760"
Cumberland,950,Commercial Township,"$63,983 ","$61,692","$62,462"
Middlesex,2150,Highland Park Borough,"$63,945 ","$61,907","$65,727"
Middlesex,3140,Middlesex Borough,"$63,914 ","$65,604","$58,891"
Monmouth,2120,Henry Hudson Regional,"$63,876 ","$63,364","$62,791"
Hudson,4730,Secaucus Town,"$63,782 ","$63,782","$62,686"
Hunterdon,4350,Readington Township,"$63,763 ","$64,473","$62,670"
Ocean,4190,Plumsted Township,"$63,760 ","$61,685","$58,490"
Morris,2010,Harding Township,"$63,735 ","$63,210","$63,065"
Middlesex,3620,North Brunswick Township,"$63,695 ","$63,549","$62,670"
Mercer,7540,Princeton Charter School,"$63,537 ","$61,492","$62,930"
Essex,4530,Roseland Borough,"$63,529 ","$63,153","$62,485"
Burlington,4460,Riverton,"$63,528 ","$67,970","$63,188"
Morris,2650,Lincoln Park Borough,"$63,485 ","$61,895","$60,825"
Essex,6665,The Gray Charter School,"$63,426 ","$63,639","$60,096"
Passaic,2700,Little Falls Township,"$63,410 ","$59,710","$65,210"
Camden,3110,Merchantville Borough,"$63,393 ","$61,823","$61,823"
Morris,1110,Dover Town,"$63,342 ","$64,270","$63,283"
Warren,2250,Hope Township,"$63,310 ","$55,740","$53,520"
Hunterdon,430,Bloomsbury Borough,"$63,288 ","$60,955","$58,940"
Burlington,3920,Palmyra Borough,"$63,263 ","$60,518","$60,611"
Middlesex,4660,Sayreville Borough,"$63,228 ","$58,828","$57,778"
Monmouth,5420,Wall Township,"$63,200 ","$59,800","$61,400"
Bergen,80,Alpine Borough,"$63,199 ","$65,087","$62,539"
Burlington,5720,Westampton,"$63,120 ","$61,390","$60,063"
Hunterdon,2140,High Bridge Borough,"$63,105 ","$65,905","$67,505"
Cape May,5340,Upper Township,"$63,030 ","$63,968","$62,665"
Gloucester,2750,Logan Township,"$63,020 ","$63,370","$62,341"
Monmouth,2930,Manasquan Borough,"$63,010 ","$64,375","$61,016"
Ocean,4105,Pinelands Regional,"$63,000 ","$63,500","$61,500"
Essex,6057,Peoples Preparatory Charter,"$63,000 ","$52,500","$56,339"
Essex,7320,North Star Academy Charter S,"$63,000 ","$61,000","$61,000"
Monmouth,3040,Matawan-Aberdeen Regional,"$62,940 ","$67,140","$64,120"
Ocean,2940,Manchester Township,"$62,904 ","$61,846","$59,403"
Sussex,640,Byram Township,"$62,812 ","$63,557","$62,724"
Camden,1720,Gibbsboro Borough,"$62,774 ","$60,483","$60,738"
Morris,2380,Jefferson Township,"$62,753 ","$56,261","$56,351"
Camden,340,Berlin Township,"$62,680 ","$65,457","$68,680"
Camden,580,Brooklawn Borough,"$62,650 ","$58,401","$59,605"
Cumberland,5070,Stow Creek Township,"$62,631 ","$56,522","$54,532"
Bergen,1360,Emerson Borough,"$62,625 ","$60,500","$57,375"
Middlesex,4920,South River Borough,"$62,620 ","$59,960","$57,950"
Essex,1400,Essex Fells Borough,"$62,536 ","$60,938","$60,829"
Monmouth,5640,West Long Branch Borough,"$62,515 ","$62,515","$61,975"
Passaic,2100,Hawthorne Borough,"$62,515 ","$61,640","$59,135"
Morris,4560,Roxbury Township,"$62,481 ","$65,050","$60,292"
Burlington,2960,Mansfield Township,"$62,288 ","$60,264","$60,254"
Morris,3380,Morris Plains Borough,"$62,238 ","$59,704","$57,577"
Monmouth,2770,Long Branch City,"$62,225 ","$62,686","$61,956"
Hunterdon,2308,Hunterdon Co Vocational,"$62,130 ","$62,150","$61,220"
Warren,2470,Knowlton Township,"$62,091 ","$59,025","$57,182"
Ocean,320,Berkeley Township,"$62,056 ","$58,961","$58,500"
Sussex,1570,Franklin Borough,"$62,055 ",,"$57,325"
Sussex,5110,Sussex County Vocational,"$62,000 ","$64,910","$62,090"
Bergen,4410,River Edge Borough,"$61,977 ","$61,977","$61,813"
Bergen,1070,Demarest Borough,"$61,833 ","$64,123","$61,829"
Gloucester,1330,Elk Township,"$61,799 ","$62,354","$54,382"
Camden,4110,Pine Hill Borough,"$61,736 ","$61,736","$61,507"
Ocean,2360,Jackson Township,"$61,732 ","$64,332","$61,432"
Middlesex,3290,Monroe Township,"$61,722 ","$63,895","$52,532"
Bergen,5330,Upper Saddle River Borough,"$61,680 ","$61,680","$60,425"
Mercer,6017,Foundation Academy Charter S,"$61,680 ","$61,000","$58,472"
Salem,4630,Salem City,"$61,668 ","$57,179","$57,179"
Burlington,610,Burlington Co Vocational,"$61,658 ","$62,239","$63,844"
Warren,1620,Franklin Township,"$61,650 ",,"$59,415"
Warren,1785,Great Meadows Regional,"$61,650 ","$62,035","$59,855"
Mercer,5510,Robbinsville Township,"$61,605 ","$59,443","$59,344"
Gloucester,5120,Swedesboro-Woolwich,"$61,582 ","$56,611","$56,411"
Camden,150,Audubon Borough,"$61,500 ","$60,000","$58,200"
Essex,3750,Nutley Town,"$61,491 ","$62,874","$63,433"
Burlington,5130,Tabernacle Township,"$61,442 ","$59,276","$62,194"
Hunterdon,2450,Kingwood Township,"$61,431 ","$59,890","$59,540"
Hunterdon,1600,Franklin Township,"$61,418 ","$60,534","$59,640"
Cumberland,995,Cumberland Co Vocational,"$61,365 ","$62,710","$72,975"
Sussex,4650,Sandyston-Walpack Township,"$61,349 ","$60,771","$59,608"
Sussex,2030,Hardyston Township,"$61,301 ","$60,062","$63,485"
Bergen,3740,Norwood Borough,"$61,288 ","$69,353","$68,103"
Burlington,5010,Springfield Township,"$61,278 ","$53,900","$61,278"
Cumberland,5300,Upper Deerfield Township,"$61,236 ","$63,471","$61,416"
Monmouth,2160,Highlands Borough,"$61,195 ","$60,395","$60,268"
Salem,5910,Woodstown-Pilesgrove Reg,"$61,171 ","$59,852","$59,874"
Bergen,2620,Leonia Borough,"$61,160 ","$60,380","$60,510"
Sussex,2490,Lafayette Township,"$61,120 ","$63,561","$61,618"
Essex,410,Bloomfield Township,"$61,100 ","$61,100","$58,100"
Atlantic,7410,Chartertech High School For,"$61,045 ","$58,282","$55,088"
Essex,7730,Robert Treat Academy Charter,"$60,990 ","$60,095","$54,480"
Morris,3090,Mendham Borough,"$60,980 ","$60,470","$63,965"
Bergen,5830,Wood-Ridge Borough,"$60,965 ","$59,465","$58,005"
Bergen,3550,New Milford Borough,"$60,870 ","$61,405","$58,830"
Salem,4150,Pittsgrove Township,"$60,792 ","$62,667","$61,864"
Gloucester,1774,Gloucester Co Spec Serv,"$60,780 ","$58,897","$56,597"
Warren,280,Belvidere Town,"$60,740 ","$58,635","$56,370"
Hunterdon,920,Clinton Township,"$60,580 ","$60,580","$53,892"
Bergen,1700,Garfield City,"$60,475 ","$57,000","$57,900"
Gloucester,5590,Wenonah Borough,"$60,454 ","$58,839","$58,839"
Burlington,200,Bass River Township,"$60,434 ","$60,434","$61,302"
Union,3470,Mountainside Borough,"$60,422 ","$58,168","$60,279"
Monmouth,4990,Spring Lake Heights Borough,"$60,359 ","$57,834","$57,604"
Monmouth,2430,Keyport Borough,"$60,359 ","$60,309","$55,526"
Burlington,3690,Northern Burlington Reg,"$60,300 ","$60,571","$59,029"
Middlesex,3120,Metuchen Borough,"$60,291 ","$61,191","$62,593"
Salem,2800,Lower Alloways Creek,"$60,270 ","$69,000","$66,110"
Warren,400,Blairstown Township,"$60,258 ","$58,791","$56,238"
Salem,3860,Oldmans Township,"$60,256 ","$58,720","$59,100"
Morris,4440,Riverdale Borough,"$60,254 ","$56,615","$56,315"
Union,850,Clark Township,"$60,232 ","$57,905","$57,905"
Bergen,3600,North Arlington Borough,"$60,135 ","$56,400","$55,290"
Monmouth,1000,Deal Borough,"$60,110 ","$56,400","$55,558"
Camden,190,Barrington Borough,"$60,022 ","$60,431","$59,715"
Essex,6110,Achieve Community Charter Sc,"$60,000 ",,
Gloucester,3280,Monroe Township,"$59,999 ","$57,450","$56,150"
Hunterdon,2600,Lebanon Township,"$59,915 ","$62,755","$61,235"
Somerset,1610,Franklin Township,"$59,873 ","$58,670","$57,651"
Burlington,3430,Mount Holly Township,"$59,750 ","$60,275","$54,804"
Passaic,4010,Paterson City,"$59,700 ","$59,733","$58,258"
Burlington,830,Chesterfield Township,"$59,570 ","$59,570","$57,138"
Warren,1840,Greenwich Township,"$59,555 ","$57,485","$57,961"
Cape May,2840,Lower Township,"$59,507 ","$57,265","$57,265"
Gloucester,1830,Greenwich Township,"$59,500 ","$57,000","$59,700"
Bergen,3170,Midland Park Borough,"$59,500 ","$58,263","$56,000"
Burlington,1280,Edgewater Park Township,"$59,370 ","$60,340","$56,920"
Monmouth,3250,Monmouth Beach Borough,"$59,345 ","$58,345","$57,345"
Morris,1090,Denville Township,"$59,313 ","$58,855","$59,033"
Passaic,1920,Haledon Borough,"$59,310 ","$58,895","$57,295"
Sussex,5030,Stanhope Borough,"$59,283 ","$59,283","$58,040"
Atlantic,4240,Port Republic City,"$59,274 ","$57,585","$66,372"
Camden,3770,Oaklyn Borough,"$59,216 ","$60,966","$60,716"
Camden,3420,Mount Ephraim Borough,"$59,189 ","$61,689","$65,239"
Monmouth,1440,Fair Haven Borough,"$59,143 ","$56,893","$55,283"
Camden,1880,Haddon Heights Borough,"$59,034 ","$58,374","$57,534"
Hunterdon,2220,Holland Township,"$59,022 ","$57,401","$55,489"
Camden,5560,Waterford Township,"$59,003 ","$60,592","$58,748"
Bergen,2860,Lyndhurst Township,"$59,000 ","$59,000","$59,000"
Camden,1801,Camden Prep,"$59,000 ","$57,000","$55,000"
Essex,6099,Link Community Charter Schoo,"$58,980 ",,"$51,500"
Union,5260,Union County Vocational,"$58,813 ","$59,136","$59,316"
Mercer,1430,Ewing Township,"$58,800 ","$60,618","$63,816"
Warren,30,Allamuchy Township,"$58,638 ","$54,150","$53,530"
Gloucester,1180,East Greenwich Township,"$58,538 ","$58,843","$58,135"
Atlantic,1300,Egg Harbor City,"$58,526 ","$57,963","$64,291"
Burlington,1060,Delran Township,"$58,290 ","$57,580","$56,465"
Salem,4280,Quinton Township,"$58,276 ","$61,665","$62,005"
Bergen,3870,Oradell Borough,"$58,208 ","$58,540","$58,540"
Middlesex,4970,Spotswood Borough,"$58,200 ","$59,200","$57,850"
Essex,760,Cedar Grove Township,"$58,176 ","$60,872","$57,860"
Union,4540,Roselle Borough,"$58,125 ","$59,056","$56,863"
Cape May,710,Cape May City,"$58,105 ","$56,795","$56,425"
Somerset,490,Bound Brook Borough,"$58,090 ","$58,590","$60,348"
Camden,2540,Laurel Springs Borough,"$58,081 ","$55,526","$60,505"
Ocean,2500,Lakehurst Borough,"$58,069 ","$57,484","$55,672"
Ocean,210,Bay Head Borough,"$58,015 ","$60,949","$59,454"
Monmouth,270,Belmar Borough,"$58,000 ","$57,000","$55,940"
Hudson,6720,Hoboken Charter School,"$58,000 ",,"$59,000"
Monmouth,3510,Neptune Township,"$57,996 ","$53,607","$54,007"
Somerset,3000,Manville Borough,"$57,940 ","$57,962","$54,457"
Morris,3240,Mine Hill Township,"$57,925 ","$56,775","$56,951"
Camden,880,Clementon Borough,"$57,900 ","$56,850","$55,550"
Bergen,3060,Maywood Borough,"$57,850 ","$59,375","$62,100"
Mercer,3105,Mercer County Vocational,"$57,832 ","$57,832","$55,357"
Somerset,4850,South Bound Brook,"$57,815 ","$60,568","$67,473"
Camden,5080,Stratford Borough,"$57,743 ","$61,827","$56,951"
Warren,70,Alpha Borough,"$57,615 ","$57,615","$58,368"
Somerset,1810,Green Brook Township,"$57,605 ","$57,605","$56,430"
Mercer,6025,Paul Robeson Charter School,"$57,590 ","$57,500","$50,000"
Sussex,1630,Fredon Township,"$57,561 ","$54,940","$54,940"
Warren,5460,Warren County Vocational,"$57,539 ","$56,212","$56,082"
Ocean,1150,Eagleswood Township,"$57,495 ","$57,495","$58,280"
Camden,330,Berlin Borough,"$57,415 ","$57,815","$58,040"
Middlesex,2370,Jamesburg Borough,"$57,293 ","$56,733","$55,182"
Monmouth,180,Avon Borough,"$57,200 ",,"$51,520"
Essex,7210,Marion P. Thomas Charter Sch,"$57,152 ","$56,862","$51,370"
Monmouth,500,Bradley Beach Borough,"$57,145 ","$57,480","$57,446"
Atlantic,1790,Greater Egg Harbor Reg,"$57,116 ","$57,110","$57,510"
Hudson,220,Bayonne City,"$57,074 ","$55,290","$55,690"
Gloucester,2990,Mantua Township,"$57,053 ","$59,799","$60,305"
Essex,6020,Pride Academy Charter School,"$57,000 ","$56,694","$55,352"
Ocean,2350,Island Heights Borough,"$56,980 ","$54,196","$51,670"
Camden,7109,Leap Academy University Char,"$56,957 ","$54,670","$52,436"
Bergen,5430,Wallington Borough,"$56,950 ","$54,035","$52,090"
Burlington,1910,Hainesport Township,"$56,864 ","$55,609","$55,881"
Warren,1670,Frelinghuysen Township,"$56,837 ","$59,492","$65,232"
Salem,4640,Salem County Vocational,"$56,829 ","$53,565","$53,665"
Camden,2670,Lindenwold Borough,"$56,816 ","$57,582","$55,866"
Camden,4590,Runnemede Borough,"$56,783 ","$56,233","$54,718"
Union,1710,Garwood Borough,"$56,742 ",,"$62,064"
Cumberland,1820,Greenwich Township,"$56,734 ","$58,665","$54,532"
Burlington,3540,New Hanover Township,"$56,721 ","$61,141","$61,141"
Ocean,5220,Tuckerton Borough,"$56,712 ","$54,377","$51,057"
Cumberland,1020,Deerfield Township,"$56,710 ","$58,882","$63,879"
Cumberland,1120,Downe Township,"$56,630 ","$56,880","$64,084"
Cumberland,1460,Fairfield Township,"$56,620 ","$54,762","$54,762"
Essex,3880,City Of Orange Township,"$56,543 ","$54,921","$54,921"
Hunterdon,1680,Frenchtown Borough,"$56,515 ","$59,020","$61,120"
Monmouth,7891,College Achieve Greater Asbu,"$56,500 ",,
Morris,3520,Netcong Borough,"$56,440 ","$50,925","$54,000"
Essex,7735,Maria Varisco Rogers Charter,"$56,425 ","$55,220","$52,500"
Atlantic,120,Atlantic Co Vocational,"$56,360 ","$56,676","$50,129"
Sussex,3840,Ogdensburg Borough,"$56,250 ","$56,010","$51,643"
Monmouth,4770,Shrewsbury Borough,"$56,245 ","$58,645","$57,045"
Camden,4790,Somerdale Borough,"$56,214 ","$54,564","$53,801"
Ocean,5020,Stafford Township,"$56,167 ","$57,767","$57,942"
Essex,8065,University Heights Charter S,"$56,160 ","$55,775","$52,550"
Bergen,1470,Fairview Borough,"$56,150 ","$55,125","$57,405"
Hunterdon,370,Bethlehem Township,"$56,105 ","$55,905","$52,953"
Atlantic,1540,Folsom Borough,"$56,036 ","$54,435","$53,288"
Burlington,4930,Southampton Township,"$56,013 ","$56,950","$58,675"
Essex,6053,Great Oaks Legacy Charter Sc,"$56,008 ","$57,010","$51,500"
Atlantic,4180,Pleasantville City,"$55,811 ","$55,700","$55,850"
Gloucester,2440,Kingsway Regional,"$55,797 ","$54,594","$52,737"
Ocean,185,Barnegat Township,"$55,789 ","$56,889","$54,893"
Hudson,6064,Dr Lena Edwards Academic Cha,"$55,750 ","$56,750","$52,750"
Essex,6094,Phillip's Academy Charter Sc,"$55,705 ","$56,810","$50,415"
Camden,700,Camden County Vocational,"$55,652 ","$59,224","$57,308"
Cape May,5840,Woodbine Borough,"$55,650 ","$53,991","$56,297"
Salem,2950,Mannington Township,"$55,582 ","$61,470","$60,543"
Bergen,1270,Edgewater Borough,"$55,578 ","$54,028","$52,978"
Monmouth,1260,Eatontown Borough,"$55,564 ","$56,965","$60,043"
Camden,1900,Haddonfield Borough,"$55,525 ","$56,237","$56,837"
Hunterdon,670,Califon Borough,"$55,479 ","$53,489","$51,867"
Camden,1890,Haddon Township,"$55,474 ","$56,052","$56,141"
Monmouth,5230,Union Beach,"$55,334 ",,"$52,146"
Sussex,7850,Sussex County Technology Cha,"$55,317 ","$52,968","$50,455"
Hudson,5580,Weehawken Township,"$55,280 ","$56,740","$56,230"
Union,5810,Winfield Township,"$55,258 ","$56,596","$55,632"
Gloucester,5870,Woodbury Heights Borough,"$55,242 ","$56,292","$59,727"
Gloucester,860,Clayton Borough,"$55,242 ","$51,746","$54,042"
Camden,2560,Lawnside Borough,"$55,227 ","$54,552","$54,552"
Salem,4635,Salem Co Special Service,"$55,175 ","$53,740","$52,860"
Monmouth,4520,Roosevelt Borough,"$55,098 ","$52,471","$49,981"
Passaic,3640,North Haledon Borough,"$55,019 ","$55,964","$54,569"
Burlington,1030,Delanco Township,"$55,002 ","$57,318","$55,954"
Camden,6232,Environment Community Opport,"$55,000 ","$53,040","$52,500"
Essex,7290,New Horizons Community Chart,"$54,866 ","$51,310","$53,800"
Morris,4480,Rockaway Borough,"$54,857 ",,"$50,750"
Ocean,3800,Ocean Gate Borough,"$54,715 ","$51,960","$51,960"
Essex,6410,East Orange Community Charte,"$54,704 ","$55,080","$55,525"
Monmouth,6010,Academy Charter High School,"$54,688 ","$54,122","$51,305"
Essex,6029,Newark Educators Community C,"$54,590 ","$51,500","$51,640"
Essex,6058,Roseville Community Charter,"$54,590 ","$54,855","$54,325"
Passaic,6021,Community Charter School Of,"$54,584 ","$52,994","$52,038"
Monmouth,4360,Red Bank Borough,"$54,555 ","$54,140","$53,678"
Salem,4075,Pennsville,"$54,527 ","$52,694","$49,461"
Middlesex,1140,Dunellen Borough,"$54,500 ","$52,850","$51,700"
Camden,5900,Woodlynne Borough,"$54,458 ","$55,611","$51,846"
Burlington,380,Beverly City,"$54,333 ","$51,488","$54,361"
Atlantic,4800,Somers Point City,"$54,309 ","$57,561","$57,561"
Bergen,2740,Lodi Borough,"$54,266 ","$55,624","$57,216"
Hudson,6082,Beloved Community Charter Sc,"$54,250 ","$52,000","$48,000"
Gloucester,4880,South Harrison Township,"$54,006 ","$54,756","$53,142"
Hudson,6910,Jersey City Community Charte,"$53,993 ","$53,994","$56,225"
Middlesex,6635,Greater Brunswick Charter Sc,"$53,904 ","$53,132","$51,468"
Atlantic,3720,Northfield City,"$53,863 ","$54,134","$54,134"
Cumberland,3050,Maurice River Township,"$53,792 ","$55,847","$59,878"
Hunterdon,2590,Lebanon Borough,"$53,760 ","$54,310","$56,860"
Essex,6022,Burch Charter School Of Exce,"$53,679 ","$51,725","$48,500"
Warren,3890,Oxford Township,"$53,610 ","$52,285","$51,005"
Atlantic,3480,Mullica Township,"$53,575 ","$53,588","$54,541"
Hudson,6036,Hoboken Dual Language Charte,"$53,550 ","$51,638","$50,125"
Union,8010,Union County Teams Charter S,"$53,391 ","$53,765","$50,200"
Essex,7100,Lady Liberty Academy Charter,"$53,275 ","$52,530","$54,000"
Cape May,5610,West Cape May Borough,"$53,256 ","$54,382","$51,564"
Atlantic,6060,Atlantic Community Charter S,"$53,000 ","$53,280","$53,000"
Mercer,8140,The Village Charter School,"$53,000 ","$48,000","$48,000"
Middlesex,6032,Academy For Urban Leadership,"$53,000 ","$49,690","$48,213"
Passaic,7503,Paterson Charter School For,"$53,000 ","$53,375","$52,750"
Union,6102,Cresthaven Academy Charter S,"$53,000 ","$55,000",
Ocean,2520,Lakewood Township,"$52,941 ","$52,046","$50,436"
Gloucester,1590,Franklin Township,"$52,824 ","$53,267","$52,153"
Mercer,6183,Trenton Stem-To-Civics Chart,"$52,500 ","$50,500","$51,000"
Salem,1350,Elsinboro Township,"$52,497 ","$52,951","$54,922"
Hudson,8060,University Academy Charter H,"$52,488 ","$53,506","$49,828"
Mercer,6810,International Charter School,"$52,468 ","$50,417","$49,313"
Monmouth,1490,Farmingdale Borough,"$52,447 ","$50,400","$51,395"
Monmouth,1640,Freehold Borough,"$52,277 ","$49,255","$50,915"
Monmouth,5185,Tinton Falls,"$52,253 ","$52,253","$52,484"
Camden,6107,Camden's Promise Charter Sch,"$52,000 ","$51,000",
Essex,3630,North Caldwell Borough,"$51,970 ","$52,218","$53,000"
Atlantic,5760,Weymouth Township,"$51,700 ","$51,702","$51,730"
Bergen,1345,Elmwood Park,"$51,610 ","$51,735","$51,610"
Burlington,6076,Benjamin Banneker Preparator,"$51,500 ","$55,020","$53,550"
Essex,6320,Discovery Charter School,"$51,500 ",,"$53,000"
Middlesex,6041,Hatikvah International Chart,"$51,500 ","$51,500","$50,000"
Ocean,230,Beach Haven Borough,"$51,345 ","$51,345","$45,219"
Mercer,7500,Pace Charter School Of Hamil,"$51,000 ","$50,000","$47,197"
Burlington,5890,Woodland Township,"$50,894 ","$50,500","$49,000"
Passaic,6079,John P. Holland Charter Scho,"$50,849 ","$53,405","$51,311"
Camden,6067,The Kingdom Charter School O,"$50,600 ","$45,250","$45,000"
Middlesex,3220,Milltown Borough,"$50,558 ","$48,815","$47,705"
Hudson,6184,Great Futures Charter School,"$50,465 ","$51,690","$49,200"
Union,7600,The Queen City Academy Chart,"$50,400 ","$50,200","$50,200"
Passaic,6106,Philip's Academy Charter Sch,"$50,375 ","$56,000",
Hudson,6915,Jersey City Golden Door Char,"$50,160 ","$49,850","$49,000"
Cape May,1080,Dennis Township,"$50,093 ","$52,649","$51,637"
Hudson,6103,Empowerment Academy Charter,"$50,000 ","$49,000","$46,000"
Mercer,6182,International Academy Of Tre,"$50,000 ","$49,500","$43,500"
Morris,8050,Unity Charter School,"$50,000 ","$50,364","$50,000"
Somerset,6018,Central Jersey College Prep,"$50,000 ","$49,800","$49,200"
Union,6033,The Barack Obama Green Chart,"$50,000 ","$49,970","$48,960"
Atlantic,6104,International Academy Of Atl,"$49,500 ","$48,250","$44,000"
Monmouth,6740,Hope Academy Charter School,"$49,000 ","$44,833","$44,000"
Union,6101,College Achieve Central Char,"$49,000 ","$48,000","$46,500"
Somerset,6081,Thomas Edison Energysmart Ch,"$48,800 ","$48,800","$47,850"
Hudson,7115,Learning Community Charter S,"$48,618 ","$46,979","$47,709"
Monmouth,3500,Neptune City,"$48,385 ","$49,000","$49,640"
Hunterdon,1970,Hampton Borough,"$48,333 ","$49,058","$50,333"
Hunterdon,3180,Milford Borough,"$48,007 ","$48,007","$46,687"
Passaic,7892,College Achieve Paterson Cha,"$48,000 ",,
Monmouth,7720,Red Bank Charter School,"$47,475 ","$42,000","$42,700"
Bergen,6013,Bergen Arts And Sciences Cha,"$47,000 ","$46,000","$45,200"
Camden,6086,Hope Community Cs,"$47,000 ","$48,035","$45,457"
Hudson,6068,M.E.T.S. Charter School,"$47,000 ","$45,900","$45,320"
Cumberland,6089,Compass Academy Charter Scho,"$46,875 ","$46,056","$46,988"
Warren,7727,Ridge And Valley Charter Sch,"$46,717 ","$45,356","$44,316"
Cumberland,6069,Millville Public Charter Sch,"$46,183 ","$45,750","$45,000"
Passaic,6096,Paterson Arts And Science Ch,"$45,900 ","$44,100","$44,000"
Passaic,6080,Passaic Arts And Science Cha,"$45,600 ","$45,000","$44,000"
Cumberland,6028,Vineland Public Charter Scho,"$45,000 ","$45,000","$45,750"
Cumberland,6100,Bridgeton Public Charter Sch,"$45,000 ","$45,000","$44,000"
Hudson,6093,Jersey City Global Cs,"$45,000 ","$42,000","$41,000"
Hudson,6030,The Ethical Community Charte,"$44,701 ","$43,399","$42,340"
Hudson,6105,Hudson Arts And Science Char,"$44,400 ","$42,600",
Burlington,6026,Riverbank Charter School Of,"$42,000 ","$43,500","$45,868"
Passaic,6230,Classical Academy Charter Sc,"$42,000 ","$42,500","$42,302"